Province or Territory ,Postal and ISO 3166‑2:CA abbreviation
Alberta,AB
British Columbia,BC
Manitoba,MB
New Brunswick,NB
Newfoundland and Labrador,NL
Nova Scotia,NS
Northwest Territories,NT
Nunavut,NU
Ontario,ON
Prince Edward Island,PE
Quebec,QC
Saskatchewan,SK
Yukon,YT
